7.47343368836083E-01,1.77924631377871E-01,1.692E-13,0
6.93421993758326E-01,5.47829750582469E-01,2.559E-14,1
6.02106909224732E-01,9.56553966446143E-01,8.002E-14,2
5.03009924371181E-01,1.41029640486699E+00,2.623E-12,3
4.15029159626132E-01,1.89368978173270E+00,1.315E-14,4
3.38598806186086E-01,2.39121610827169E+00,4.648E-13,5
2.66504680490378E-01,2.89582125232407E+00,7.789E-14,6
1.85644667340403E-01,3.40768234441227E+00,7.457E-13,7
4.61517877393318E-16,3.99999999999960E+00,9.154E-11,8
1.26527010251223E-01,4.60528953031706E+00,4.319E-15,9
1.53106925771977E-01,5.12165323476301E+00,2.520E-13,10
1.65196289283261E-01,5.63088474521598E+00,6.794E-12,11
1.71455844126641E-01,6.13738948786237E+00,3.972E-12,12
1.74788524747203E-01,6.64246047686512E+00,2.407E-11,13
1.76477881521176E-01,7.14664139661584E+00,1.407E-16,14
1.77180774240328E-01,7.65021041629080E+00,3.546E-15,15
1.77265804918750E-01,8.15332917735088E+00,6.400E-12,16
1.77265804918760E-01,8.15332917735089E+00,3.019E-14,17
1.76953413150203E-01,8.65610041910535E+00,3.271E-13,18
1.75640248261283E-01,9.66085949814263E+00,7.017E-16,19
1.76381696247946E-01,9.15859391379926E+00,6.755E-14,20
1.75640248261296E-01,9.66085949814262E+00,2.051E-15,21
1.74788776519999E-01,1.01629341990173E+01,2.031E-11,22
1.73867900572428E-01,1.06648464011229E+01,1.912E-12,23
1.72905688996354E-01,1.11666184221354E+01,9.935E-14,24
1.71921757328187E-01,1.16682681781352E+01,6.927E-15,25
1.70929913435045E-01,1.21698103028379E+01,4.720E-11,26
1.69939908138862E-01,1.26712569247166E+01,6.834E-12,27
1.68958618624067E-01,1.31726182219057E+01,1.045E-12,28
1.67990863230441E-01,1.36739028281292E+01,1.714E-13,29
1.67039971459470E-01,1.41751181359628E+01,2.933E-14,30
1.66108188308603E-01,1.46762705276043E+01,6.040E-15,31
1.65196964579593E-01,1.51773655533494E+01,2.398E-15,32
1.64307167527375E-01,1.56784080716191E+01,5.313E-11,33
1.63439235113330E-01,1.61794023602307E+01,2.065E-11,34
1.62593289853969E-01,1.66803522058362E+01,8.298E-12,35
1.61769223411823E-01,1.71812609765515E+01,3.437E-12,36
1.60966759796374E-01,1.76821316814872E+01,1.467E-12,37
1.60185502791795E-01,1.81829670199545E+01,6.460E-13,38
1.59424971665061E-01,1.86837694224502E+01,2.905E-13,39
1.58684628105542E-01,1.91845410850365E+01,1.323E-13,40
1.57963896564897E-01,1.96852839983637E+01,6.475E-14,41
1.57262179603070E-01,2.01859999723191E+01,2.949E-14,42
1.56578869438504E-01,2.06866906570767E+01,1.576E-14,43
1.55913356602178E-01,2.11873575611627E+01,8.206E-15,44
1.55265036374573E-01,2.16880020670374E+01,4.338E-15,45
1.54633313521948E-01,2.21886254445910E+01,7.691E-16,46
1.54017605725978E-01,2.26892288628848E+01,2.724E-15,47
1.53417346008587E-01,2.31898134004024E+01,8.661E-11,48
1.52831984384372E-01,2.36903800540348E+01,5.963E-11,49
1.52260988920389E-01,2.41909297469840E+01,4.143E-11,50
1.51703846342040E-01,2.46914633357334E+01,2.905E-11,51
1.51160062293746E-01,2.51919816162212E+01,2.054E-11,52
1.50629161337054E-01,2.56924853293168E+01,1.464E-11,53
1.50110686753180E-01,2.61929751656972E+01,1.051E-11,54
1.49604200199367E-01,2.66934517701989E+01,7.602E-12,55
1.49109281260222E-01,2.71939157457114E+01,5.540E-12,56
1.48625526924260E-01,2.76943676566691E+01,4.061E-12,57
1.48152551009026E-01,2.81948080321904E+01,2.994E-12,58
1.47689983554916E-01,2.86952373689056E+01,2.226E-12,59
1.47237470201390E-01,2.91956561335099E+01,1.659E-12,60
1.46794671555897E-01,2.96960647650725E+01,1.248E-12,61
1.46361262565167E-01,3.01964636771302E+01,9.397E-13,62
1.45936931894492E-01,3.06968532595871E+01,7.163E-13,63
1.45521381319823E-01,3.11972338804444E+01,5.445E-13,64
1.45114325136243E-01,3.16976058873744E+01,4.167E-13,65
1.44715489584783E-01,3.21979696091588E+01,3.221E-13,66
1.44324612300157E-01,3.26983253570027E+01,2.507E-13,67
1.43941441779734E-01,3.31986734257375E+01,1.930E-13,68
1.43565736873081E-01,3.36990140949242E+01,1.519E-13,69
1.43197266296019E-01,3.41993476298661E+01,1.191E-13,70
1.42835808163640E-01,3.46996742825401E+01,9.319E-14,71
1.42481149547776E-01,3.51999942924542E+01,7.347E-14,72
1.42133086053138E-01,3.57003078874370E+01,5.969E-14,73
1.41791421415069E-01,3.62006152843683E+01,4.506E-14,74
1.41455967117020E-01,3.67009166898522E+01,3.987E-14,75
1.41126542027305E-01,3.72012123008421E+01,2.692E-14,76
1.40802972052957E-01,3.77015023052165E+01,2.275E-14,77
1.40485089812270E-01,3.82017868823159E+01,1.885E-14,78
1.40172734323131E-01,3.87020662034404E+01,1.637E-14,79
1.39865750708356E-01,3.92023404323104E+01,1.765E-14,80
1.39563989914798E-01,3.97026097254975E+01,9.608E-15,81
1.39267308447650E-01,4.02028742328237E+01,1.038E-14,82
1.38975568118212E-01,4.07031340977356E+01,6.030E-15,83
1.38688635803529E-01,4.12033894576508E+01,2.731E-15,84
1.38406383221176E-01,4.17036404442828E+01,2.607E-15,85
1.38128686711738E-01,4.22038871839469E+01,2.795E-15,86
1.37855427035827E-01,4.27041297978398E+01,3.007E-15,87
1.37586489177669E-01,4.32043684023097E+01,1.096E-14,88
1.37321762163305E-01,4.37046031091032E+01,5.901E-15,89
