 0.7473433688360838E+00  0.1779246313778714E+00  0.1692E-12    0
 0.6934219937583268E+00  0.5478297505824697E+00  0.2559E-13    1
 0.6021069092247328E+00  0.9565539664461437E+00  0.8002E-13    2
 0.5030099243711814E+00  0.1410296404866991E+01  0.2623E-11    3
 0.4150291596261321E+00  0.1893689781732703E+01  0.1315E-13    4
 0.3385988061860866E+00  0.2391216108271694E+01  0.4648E-12    5
 0.2665046804903783E+00  0.2895821252324076E+01  0.7789E-13    6
 0.1856446673404036E+00  0.3407682344412271E+01  0.7457E-12    7
 0.4615178773933189E-15  0.3999999999999607E+01  0.9154E-10    8
 0.1265270102512238E+00  0.4605289530317062E+01  0.4319E-14    9
 0.1531069257719772E+00  0.5121653234763015E+01  0.2520E-12   10
 0.1651962892832611E+00  0.5630884745215980E+01  0.6794E-11   11
 0.1714558441266416E+00  0.6137389487862376E+01  0.3972E-11   12
 0.1747885247472037E+00  0.6642460476865121E+01  0.2407E-10   13
 0.1764778815211766E+00  0.7146641396615844E+01  0.1407E-15   14
 0.1771807742403289E+00  0.7650210416290808E+01  0.3546E-14   15
 0.1772658049187507E+00  0.8153329177350889E+01  0.6400E-11   16
 0.1772658049187602E+00  0.8153329177350894E+01  0.3019E-13   17
 0.1769534131502033E+00  0.8656100419105357E+01  0.3271E-12   18
 0.1756402482612833E+00  0.9660859498142637E+01  0.7017E-15   19
 0.1763816962479461E+00  0.9158593913799265E+01  0.6755E-13   20
 0.1756402482612960E+00  0.9660859498142628E+01  0.2051E-14   21
 0.1747887765199997E+00  0.1016293419901730E+02  0.2031E-10   22
 0.1738679005724288E+00  0.1066484640112293E+02  0.1912E-11   23
 0.1729056889963548E+00  0.1116661842213542E+02  0.9935E-13   24
 0.1719217573281873E+00  0.1166826817813525E+02  0.6927E-14   25
 0.1709299134350452E+00  0.1216981030283798E+02  0.4720E-10   26
 0.1699399081388624E+00  0.1267125692471668E+02  0.6834E-11   27
 0.1689586186240672E+00  0.1317261822190575E+02  0.1045E-11   28
 0.1679908632304414E+00  0.1367390282812926E+02  0.1714E-12   29
 0.1670399714594701E+00  0.1417511813596289E+02  0.2933E-13   30
 0.1661081883086030E+00  0.1467627052760433E+02  0.6040E-14   31
 0.1651969645795939E+00  0.1517736555334947E+02  0.2398E-14   32
 0.1643071675273751E+00  0.1567840807161911E+02  0.5313E-10   33
 0.1634392351133304E+00  0.1617940236023077E+02  0.2065E-10   34
 0.1625932898539691E+00  0.1668035220583626E+02  0.8298E-11   35
 0.1617692234118236E+00  0.1718126097655159E+02  0.3437E-11   36
 0.1609667597963747E+00  0.1768213168148729E+02  0.1467E-11   37
 0.1601855027917950E+00  0.1818296701995452E+02  0.6460E-12   38
 0.1594249716650611E+00  0.1868376942245027E+02  0.2905E-12   39
 0.1586846281055427E+00  0.1918454108503657E+02  0.1323E-12   40
 0.1579638965648975E+00  0.1968528399836372E+02  0.6475E-13   41
 0.1572621796030705E+00  0.2018599997231918E+02  0.2949E-13   42
 0.1565788694385041E+00  0.2068669065707676E+02  0.1576E-13   43
 0.1559133566021787E+00  0.2118735756116279E+02  0.8206E-14   44
 0.1552650363745736E+00  0.2168800206703740E+02  0.4338E-14   45
 0.1546333135219488E+00  0.2218862544459104E+02  0.7691E-15   46
 0.1540176057259788E+00  0.2268922886288484E+02  0.2724E-14   47
 0.1534173460085879E+00  0.2318981340040241E+02  0.8661E-10   48
 0.1528319843843727E+00  0.2369038005403484E+02  0.5963E-10   49
 0.1522609889203899E+00  0.2419092974698407E+02  0.4143E-10   50
 0.1517038463420402E+00  0.2469146333573349E+02  0.2905E-10   51
 0.1511600622937460E+00  0.2519198161622127E+02  0.2054E-10   52
 0.1506291613370542E+00  0.2569248532931688E+02  0.1464E-10   53
 0.1501106867531806E+00  0.2619297516569724E+02  0.1051E-10   54
 0.1496042001993679E+00  0.2669345177019894E+02  0.7602E-11   55
 0.1491092812602222E+00  0.2719391574571147E+02  0.5540E-11   56
 0.1486255269242601E+00  0.2769436765666918E+02  0.4061E-11   57
 0.1481525510090264E+00  0.2819480803219046E+02  0.2994E-11   58
 0.1476899835549167E+00  0.2869523736890562E+02  0.2226E-11   59
 0.1472374702013901E+00  0.2919565613350992E+02  0.1659E-11   60
 0.1467946715558977E+00  0.2969606476507253E+02  0.1248E-11   61
 0.1463612625651670E+00  0.3019646367713022E+02  0.9397E-12   62
 0.1459369318944921E+00  0.3069685325958717E+02  0.7163E-12   63
 0.1455213813198233E+00  0.3119723388044447E+02  0.5445E-12   64
 0.1451143251362437E+00  0.3169760588737446E+02  0.4167E-12   65
 0.1447154895847830E+00  0.3219796960915886E+02  0.3221E-12   66
 0.1443246123001570E+00  0.3269832535700273E+02  0.2507E-12   67
 0.1439414417797343E+00  0.3319867342573757E+02  0.1930E-12   68
 0.1435657368730812E+00  0.3369901409492424E+02  0.1519E-12   69
 0.1431972662960192E+00  0.3419934762986618E+02  0.1191E-12   70
 0.1428358081636407E+00  0.3469967428254019E+02  0.9319E-13   71
 0.1424811495477764E+00  0.3519999429245423E+02  0.7347E-13   72
 0.1421330860531389E+00  0.3570030788743704E+02  0.5969E-13   73
 0.1417914214150698E+00  0.3620061528436833E+02  0.4506E-13   74
 0.1414559671170200E+00  0.3670091668985228E+02  0.3987E-13   75
 0.1411265420273056E+00  0.3720121230084215E+02  0.2692E-13   76
 0.1408029720529571E+00  0.3770150230521651E+02  0.2275E-13   77
 0.1404850898122705E+00  0.3820178688231599E+02  0.1885E-13   78
 0.1401727343231312E+00  0.3870206620344043E+02  0.1637E-13   79
